blk_no,street,max_floor_lvl,year_completed,residential,commercial,market_hawker,miscellaneous,multistorey_carpark,precinct_pavilion,bldg_contract_town,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,multigen_sold,studio_apartment_sold,1room_rental,2room_rental,3room_rental,other_room_rental,Address,Longitude,Latitude
590,MONTREAL LINK,1,2014,N,Y,N,N,N,N,SB,0,0,0,0,0,0,0,0,0,0,0,0,0,590 MONTREAL LINK,103.826554055194,1.45063212743043
590A,ANG MO KIO ST 51,31,2017,Y,N,N,N,N,N,AMK,240,0,59,60,90,0,0,0,31,0,0,0,0,590A ANG MO KIO ST 51,103.853853154442,1.37122178516983
590A,MONTREAL LINK,16,2013,Y,Y,N,N,N,N,SB,114,0,60,54,0,0,0,0,0,0,0,0,0,590A MONTREAL LINK,103.826654919951,1.45035573249189
590B,ANG MO KIO ST 51,32,2017,Y,N,N,Y,N,N,AMK,224,0,50,56,87,0,0,0,31,0,0,0,0,590B ANG MO KIO ST 51,103.852980282648,1.37118642598512
590B,MONTREAL LINK,17,2014,Y,N,N,Y,N,N,SB,95,0,0,31,64,0,0,0,0,0,0,0,0,590B MONTREAL LINK,103.827067209255,1.45008621870701
590C,MONTREAL LINK,17,2014,Y,N,N,N,N,N,SB,103,0,0,15,88,0,0,0,0,0,0,0,0,590C MONTREAL LINK,103.82672063438,1.44994314368403
591,ANG MO KIO ST 51,1,2017,N,N,N,N,N,Y,AMK,0,0,0,0,0,0,0,0,0,0,0,0,0,591 ANG MO KIO ST 51,103.852521019944,1.37106592515682
591,MONTREAL LINK,5,2013,N,N,N,N,Y,Y,SB,0,0,0,0,0,0,0,0,0,0,0,0,0,591 MONTREAL LINK,103.826355269162,1.45035494651699
591A,ANG MO KIO ST 51,32,2017,Y,N,N,Y,N,N,AMK,248,0,0,62,186,0,0,0,0,0,0,0,0,591A ANG MO KIO ST 51,103.851940766136,1.37093324079314
591A,MONTREAL LINK,15,2013,Y,N,N,N,N,N,SB,111,0,56,54,0,0,1,0,0,0,0,0,0,591A MONTREAL LINK,103.826236742405,1.45075627789135
592,MONTREAL LINK,7,2013,N,N,N,N,Y,N,SB,0,0,0,0,0,0,0,0,0,0,0,0,0,592 MONTREAL LINK,103.827439937897,1.45123081086214
592A,MONTREAL LINK,17,2013,Y,N,N,N,N,N,SB,85,0,0,32,53,0,0,0,0,0,0,0,0,592A MONTREAL LINK,103.827087654463,1.45093939112951
592B,MONTREAL LINK,17,2014,Y,N,N,N,N,N,SB,96,0,0,0,96,0,0,0,0,0,0,0,0,592B MONTREAL LINK,103.827601887037,1.45066388771139
592C,MONTREAL LINK,17,2014,Y,N,N,Y,N,N,SB,112,0,0,0,112,0,0,0,0,0,0,0,0,592C MONTREAL LINK,103.828070545183,1.45093931289388
593,MONTREAL LINK,1,2014,N,N,N,N,N,Y,SB,0,0,0,0,0,0,0,0,0,0,0,0,0,593 MONTREAL LINK,103.828123594223,1.45171802572022
593A,MONTREAL LINK,16,2013,Y,N,N,N,N,N,SB,135,0,0,30,105,0,0,0,0,0,0,0,0,593A MONTREAL LINK,103.827907536375,1.45154716074707
593B,MONTREAL LINK,16,2014,Y,N,N,N,N,N,SB,150,0,105,45,0,0,0,0,0,0,0,0,0,593B MONTREAL LINK,103.828324578002,1.4513699701967
596,ANG MO KIO ST 52,5,2000,N,N,N,N,Y,Y,AMK,0,0,0,0,0,0,0,0,0,0,0,0,0,596 ANG MO KIO ST 52,103.851308757026,1.37234568262762
596A,ANG MO KIO ST 52,28,2000,Y,N,N,N,N,N,AMK,135,0,0,0,81,54,0,0,0,0,0,0,0,596A ANG MO KIO ST 52,103.850949173949,1.37243023974423
596B,ANG MO KIO ST 52,28,2000,Y,N,N,N,N,N,AMK,135,0,0,0,81,54,0,0,0,0,0,0,0,596B ANG MO KIO ST 52,103.850545847531,1.37205123278789
596C,ANG MO KIO ST 52,28,2000,Y,N,N,N,N,N,AMK,135,0,0,0,81,54,0,0,0,0,0,0,0,596C ANG MO KIO ST 52,103.85014325987,1.37193571932413
596D,ANG MO KIO ST 52,28,2001,Y,N,N,N,N,N,AMK,162,0,0,0,108,54,0,0,0,0,0,0,0,596D ANG MO KIO ST 52,103.851030423419,1.37187135282659
6,BEACH RD,16,1968,Y,Y,N,N,N,N,KWN,198,0,45,1,28,0,0,0,0,57,67,0,0,6 BEACH RD,103.864419251804,1.30399231690916
6,BEDOK STH AVE 2,14,1975,Y,N,N,N,N,N,BD,104,0,0,0,104,0,0,0,0,0,0,0,0,6 BEDOK STH AVE 2,103.934991224907,1.32221710776614
6,BOON KENG RD,16,1996,Y,N,N,Y,N,N,KWN,102,0,0,0,49,53,0,0,0,0,0,0,0,6 BOON KENG RD,103.860896688005,1.31708803504618
6,CHANGI VILLAGE RD,1,1981,N,Y,N,N,N,N,PRC,0,0,0,0,0,0,0,0,0,0,0,0,0,6 CHANGI VILLAGE RD,103.988705804497,1.38992558846378
6,EUNOS CRES,2,1976,N,Y,N,N,N,N,GL,0,0,0,0,0,0,0,0,0,0,0,0,0,6 EUNOS CRES,103.904252036916,1.32107318214851
6,EVERTON PK,12,1980,Y,Y,N,Y,N,N,BM,95,0,0,62,0,33,0,0,0,0,0,0,0,6 EVERTON PK,103.838789134895,1.27667381111121
6,FARRER RD,10,1973,Y,Y,N,N,N,N,BT,90,0,0,16,74,0,0,0,0,0,0,0,0,6 FARRER RD,103.808057179008,1.31731971195622
